"@timestamp","process.command_line","process.executable","process.working_directory","process.pid","process.parent.pid","process.user.id"
"Nov 1, 2023 @ 23:59:50.694","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808794,1808793,0
"Nov 1, 2023 @ 23:59:50.694","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808798,1808797,0
"Nov 1, 2023 @ 23:59:50.694","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808804,1808793,0
"Nov 1, 2023 @ 23:59:50.694","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808793,500,0
"Nov 1, 2023 @ 23:59:50.694","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808801,1808800,0
"Nov 1, 2023 @ 23:59:50.694","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808805,1808793,0
"Nov 1, 2023 @ 23:59:50.694","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808803,1808793,0
"Nov 1, 2023 @ 23:59:50.694","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808802,1808800,0
"Nov 1, 2023 @ 23:59:50.694","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808797,1808793,0
"Nov 1, 2023 @ 23:59:50.694","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808795,1808793,0
